sample_id,Strain,Salt,A,C,Dispersed
279,gcy-22 (csu79),NaCl,19,5,78
280,gcy-22 (csu79),NaCl,11,0,92
281,gcy-22 (csu79),NaCl,15,2,82
282,gcy-22 (csu79),NaCl,15,4,100
283,gcy-22 (csu79),NaCl,14,0,64
284,gcy-22 (csu79),NaCl,12,7,73
285,gcy-22 (csu79),NaCl,11,9,55
286,gcy-22 (csu79),NaCl,19,2,73
287,gcy-22 (csu79),NaCl,15,8,39
288,gcy-22 (csu79),NaCl,10,3,63
289,gcy-22 (csu79),NaCl,12,7,66
290,gcy-22 (csu79),NaCl,11,0,37
291,gcy-22 (csu80),NaCl,42,19,65
292,gcy-22 (csu80),NaCl,33,5,55
293,gcy-22 (csu80),NaCl,50,17,92
294,gcy-22 (csu80),NaCl,17,6,52
295,gcy-22 (csu80),NaCl,14,6,56
296,gcy-22 (csu80),NaCl,27,10,52
297,gcy-22 (csu80),NaCl,58,25,69
298,gcy-22 (csu80),NaCl,32,18,61
299,gcy-22 (csu80),NaCl,15,5,39
300,gcy-22 (csu80),NaCl,27,5,30
301,gcy-22 (csu80),NaCl,25,10,42
302,gcy-22 (csu80),NaCl,33,9,41
303,gcy-22 (csu80),NaCl,26,14,32
304,gcy-22 (csu80),NaCl,25,12,37
305,wildtype (PS312),NaAc,2,11,45
306,wildtype (PS312),NaAc,2,15,66
307,wildtype (PS312),NaAc,1,20,69
308,wildtype (PS312),NaAc,0,21,41
309,wildtype (PS312),NaAc,0,24,50
310,wildtype (PS312),NaAc,0,43,84
311,wildtype (PS312),NaAc,0,20,42
312,wildtype (PS312),NaAc,8,50,130
313,wildtype (PS312),NaAc,2,59,120
314,wildtype (PS312),NaAc,3,25,59
315,wildtype (PS312),NaAc,7,52,120
316,wildtype (PS312),NaAc,3,32,51
317,wildtype (PS312),NaAc,3,33,85
318,wildtype (PS312),NaAc,5,35,80
319,wildtype (PS312),NaAc,6,27,52
320,wildtype (PS312),NaAc,2,35,58
321,wildtype (PS312),NaAc,5,32,51
322,wildtype (PS312),NaAc,9,81,139
323,wildtype (PS312),NaAc,12,115,130
324,wildtype (PS312),NaAc,10,56,104
325,wildtype (PS312),NaAc,7,46,109
326,wildtype (PS312),NaAc,13,90,151
327,wildtype (PS312),NaAc,2,19,64
328,wildtype (PS312),NaAc,0,12,30
329,wildtype (PS312),NaAc,0,11,40
330,wildtype (PS312),NaAc,0,12,49
331,wildtype (PS312),NaAc,3,13,40
332,gcy-22 (csu79),NaAc,0,10,38
333,gcy-22 (csu79),NaAc,0,10,44
334,gcy-22 (csu79),NaAc,4,25,60
335,gcy-22 (csu79),NaAc,0,21,61
336,gcy-22 (csu79),NaAc,1,16,66
337,gcy-22 (csu79),NaAc,0,12,59
338,gcy-22 (csu79),NaAc,0,10,49
339,gcy-22 (csu79),NaAc,1,23,48
340,gcy-22 (csu79),NaAc,0,17,83
341,gcy-22 (csu79),NaAc,0,11,40
342,gcy-22 (csu79),NaAc,0,30,88
343,gcy-22 (csu79),NaAc,0,10,37
344,gcy-22 (csu79),NaAc,0,13,85
345,gcy-22 (csu79),NaAc,1,18,97
346,gcy-22 (csu79),NaAc,0,12,71
347,gcy-22 (csu79),NaAc,0,22,65
348,gcy-22 (csu80),NaAc,2,46,80
349,gcy-22 (csu80),NaAc,3,33,55
350,gcy-22 (csu80),NaAc,2,52,101
